ancien_nom,nouveau_nom,url
DALL·E 2025-03-10 21.51.50 - An ultra-realistic and immersive depiction of Erik the Red establishing the first Norse colonies in Greenland. The scene captures Viking settlers arri.webp,dalle_2025_03_10_215150_eeff8f7d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215150_eeff8f7d.webp
"DALL·E 2025-03-10 21.51.56 - An ultra-realistic and immersive depiction of the Fatimid conquest of Egypt and the founding of Cairo, inspired by historical epic cinematography. The.webp",dalle_2025_03_10_215156_8f28c4dc.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215156_8f28c4dc.webp
DALL·E 2025-03-10 21.52.02 - A highly realistic and immersive medieval military campaign scene inspired by epic historical cinema and battlefield photography. The image depicts an.webp,dalle_2025_03_10_215202_2a021a65.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215202_2a021a65.webp
"DALL·E 2025-03-10 21.52.10 - A solemn, visually striking cinematic illustration inspired by religious historical films, showing the ascension of Olaf Tryggvason as King of Norway,.webp",dalle_2025_03_10_215210_9c7e94fd.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215210_9c7e94fd.webp
"DALL·E 2025-03-10 21.52.15 - An evocative and solemn historical scene inspired by religious epics, portraying a young medieval emperor's coronation in a grand cathedral, capturing.webp",dalle_2025_03_10_215215_98502fc8.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215215_98502fc8.webp
"DALL·E 2025-03-10 21.52.20 - A dramatic and vivid historical scene inspired by religious martyrdom films, showing the martyrdom of Saint Adalbert in medieval Central Europe. Spiri.webp",dalle_2025_03_10_215220_ddbb1aba.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215220_ddbb1aba.webp
DALL·E 2025-03-10 21.52.25 - An epic historical cinematic depiction portraying a dramatic defeat of a medieval European army by invading Saracens in southern Italy. Atmospheric li.webp,dalle_2025_03_10_215225_941c3e24.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215225_941c3e24.webp
"DALL·E 2025-03-10 21.52.30 - A richly detailed, dramatic cinematic portrayal inspired by religious epics, showing the solemn conversion ceremony of the medieval Rus' of Kiev to Or.webp",dalle_2025_03_10_215230_f85541cb.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215230_f85541cb.webp
"DALL·E 2025-03-10 21.52.41 - A powerful historical drama-inspired cinematic portrayal of a Byzantine emperor beginning his reign, capturing imperial majesty, intricate Byzantine a.webp",dalle_2025_03_10_215241_2b1a2a53.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215241_2b1a2a53.webp
"DALL·E 2025-03-10 21.52.47 - A cinematic, solemn scene inspired by historical drama films, depicting the funeral of an influential medieval emperor within an opulent cathedral. Th.webp",dalle_2025_03_10_215247_9e2a4d64.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215247_9e2a4d64.webp
"DALL·E 2025-03-10 21.52.55 - A solemn, spiritually charged scene inspired by religious cinematography, depicting the very first formal canonization ceremony conducted by the pope.webp",dalle_2025_03_10_215255_bce08b56.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215255_bce08b56.webp
"DALL·E 2025-03-10 21.53.00 - A vividly dramatic battle scene inspired by intense cinematic photography, depicting Anglo-Saxon warriors fiercely resisting Viking invaders on the sh.webp",dalle_2025_03_10_215300_4eb8b8c3.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215300_4eb8b8c3.webp
"DALL·E 2025-03-10 21.53.06 - A grand and atmospheric scene inspired by epic historical films, portraying Vladimir the Great ascending the throne, emphasizing unity, regal authorit.webp",dalle_2025_03_10_215306_dfbaf09d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215306_dfbaf09d.webp
"DALL·E 2025-03-10 21.53.12 - A cinematic depiction influenced by epic historical films, illustrating the ascension of the Byzantine emperor Basile II Bulgaroctone. Rich Byzantine .webp",dalle_2025_03_10_215312_cf2c3ae8.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215312_cf2c3ae8.webp
"DALL·E 2025-03-10 21.53.17 - A richly detailed and solemn cinematic depiction of a medieval Polish ruler's baptism, marking the country's conversion to Christianity. The lighting .webp",dalle_2025_03_10_215317_53216184.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215317_53216184.webp
"DALL·E 2025-03-10 21.53.22 - A powerful cinematic portrayal inspired by epic historical dramas, showing the unification of medieval Poland under a determined ruler. The scene feat.webp",dalle_2025_03_10_215322_33e0bc8c.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215322_33e0bc8c.webp
"DALL·E 2025-03-10 21.53.28 - An epic, cinematic battlefield scene inspired by war films, vividly depicting a medieval battle where a Germanic king triumphantly defeats invading ho.webp",dalle_2025_03_10_215328_1f68d038.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215328_1f68d038.webp
"DALL·E 2025-03-10 21.53.33 - A dramatic and immersive scene inspired by the cinematic style of historical revenge dramas, portraying a fierce and determined queen avenging her hus.webp",dalle_2025_03_10_215333_e473adae.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215333_e473adae.webp
"DALL·E 2025-03-10 21.55.33 - An ultra-realistic and immersive depiction of a medieval coronation ceremony, showing a newly elected king being crowned in a grand hall surrounded by.webp",dalle_2025_03_10_215533_40ef266e.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215533_40ef266e.webp
DALL·E 2025-03-10 21.55.38 - An ultra-realistic and immersive depiction of a Viking explorer navigating the icy waters of Greenland. The scene captures a longship approaching a va.webp,dalle_2025_03_10_215538_d284c45d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_215538_d284c45d.webp
"DALL·E 2025-03-10 22.01.47 - An ultra-realistic and immersive depiction of a medieval military campaign in the Sindh region, showing an army advancing through arid terrain. Warrio.webp",dalle_2025_03_10_220147_a9c28e48.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_220147_a9c28e48.webp
"DALL·E 2025-03-10 22.01.49 - An ultra-realistic and immersive depiction of the funeral of Saint Adalbert of Prague, showing a solemn medieval ceremony inside a grand cathedral. Cl.webp",dalle_2025_03_10_220149_47cbdc54.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_220149_47cbdc54.webp
DALL·E 2025-03-10 22.01.55 - An ultra-realistic and immersive depiction of the coronation of Otto III as Holy Roman Emperor at the age of 16. The scene takes place inside a grand .webp,dalle_2025_03_10_220155_48afa33d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_220155_48afa33d.webp
