ancien_nom,nouveau_nom,url
DALL·E 2025-03-10 22.57.18 - Ultra-realistic cinematic depiction of the construction of the Palace of Aachen in 790 under Charlemagne. Show medieval workers using only period-accu.webp,dalle_2025_03_10_225718_c3146dcd.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225718_c3146dcd.webp
"DALL·E 2025-03-10 22.57.30 - Ultra-realistic cinematic depiction of Empress Irene of Byzantium having her son Constantine VI blinded in 797, securing her rule as the first woman t.webp",dalle_2025_03_10_225730_bddd55bf.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225730_bddd55bf.webp
DALL·E 2025-03-10 22.57.38 - Ultra-realistic cinematic depiction of the conspiracy of Pepin the Hunchback against his father Charlemagne in 792. Illustrate a tense court scene in .webp,dalle_2025_03_10_225738_2e9436c4.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225738_2e9436c4.webp
DALL·E 2025-03-10 22.57.44 - Ultra-realistic cinematic depiction of the annexation of Bavaria into the Carolingian Empire in 788. Illustrate Charlemagne's forces entering a mediev.webp,dalle_2025_03_10_225744_dcee7576.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225744_dcee7576.webp
DALL·E 2025-03-10 22.57.49 - Ultra-realistic cinematic depiction of the Viking raid on the Lindisfarne monastery in 793. Illustrate Viking warriors storming ashore from their long.webp,dalle_2025_03_10_225749_f61ff909.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225749_f61ff909.webp
DALL·E 2025-03-10 22.57.55 - Ultra-realistic cinematic depiction of the Seventh Ecumenical Council of Nicaea in 787. Show a grand council chamber with Byzantine bishops and theolo.webp,dalle_2025_03_10_225755_c5ff2f84.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225755_c5ff2f84.webp
DALL·E 2025-03-10 22.57.57 - Ultra-realistic cinematic depiction of the establishment of Baghdad as the capital of the Abbasid Caliphate by Caliph Al-Mansur in 762. Capture the vi.webp,dalle_2025_03_10_225757_1b0c2d0d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225757_1b0c2d0d.webp
"DALL·E 2025-03-10 22.58.05 - Ultra-realistic cinematic depiction of the coronation of Pepin, son of Charlemagne, as king of Italy by Pope Adrian I in 781. Illustrate a solemn cere.webp",dalle_2025_03_10_225805_87561451.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225805_87561451.webp
"DALL·E 2025-03-10 22.58.11 - Ultra-realistic cinematic depiction of the 789 Viking raid on Portland, England. Illustrate the dramatic arrival of Viking warriors landing on the Eng.webp",dalle_2025_03_10_225811_58ff1bd5.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225811_58ff1bd5.webp
"DALL·E 2025-03-10 22.58.16 - Ultra-realistic cinematic depiction of Charlemagne's defeat at the Battle of Roncevaux Pass (778). Depict a dramatic, intense ambush in the mountainou.webp",dalle_2025_03_10_225816_7992e424.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225816_7992e424.webp
"DALL·E 2025-03-10 22.58.22 - Ultra-realistic cinematic depiction of the 793 Viking raid on the Lindisfarne monastery. Capture the intense, dramatic atmosphere of Vikings storming .webp",dalle_2025_03_10_225822_1f4cee0d.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2025_03_10_225822_1f4cee0d.webp
