id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
8a8fe801-579a-4203-a612-cb597b5e0379,Publication des Fleurs du mal de Baudelaire,1857-01-01,UPDATE_DATE,UPDATE_DATE,,1857-06-25,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Plusieurs sources concordantes indiquent que la date de publication des Fleurs du mal est le 25 juin 1857. La description est cohérente avec cette date.,Mettre à jour la date de l'événement avec la date de publication correcte.
9ae696a1-b4f2-4e6d-9839-60a94b395f8a,Guerre civile en Bosnie-Herzégovine,1992-01-01,UPDATE_DATE,UPDATE_DATE,,1992-03-01,false,A,0.9,INSUFFICIENT_EVIDENCE,absence_de_singularite,"Wikidata indique le 1er mars 1992 comme date de début (inception) de la Bosnie-Herzégovine, ce qui correspond au début de la guerre civile. La description est cohérente avec cette date.",Mettre à jour la date de début de la guerre civile en Bosnie-Herzégovine au 1er mars 1992.
700920be-a849-411f-af34-2edc6ee9fef7,Séisme dévastateur d'Agadir au Maroc,1960-01-01,UPDATE_DATE,UPDATE_DATE,,1960-02-29,false,A,1,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,La description indique clairement que le séisme a eu lieu le 29 février 1960. La date actuelle est incorrecte.,Mettre à jour la date pour correspondre à la description.
c5053024-9a23-478b-bcc3-a214b532f893,Fusillade des 27 de Châteaubriant,1941-01-01,UPDATE_DATE,UPDATE_DATE,,1941-10-22,false,A,1,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,La description mentionne explicitement la date du 22 octobre 1941. De nombreuses sources confirment cette date.,Mettre à jour la date avec la date correcte (22 octobre 1941).
3dcfdafd-f3b8-493c-bc64-dab7b1d1630e,Sacre de Louis XIV,1654-01-01,UPDATE_DATE,UPDATE_DATE,Sacre de Louis XIV,1654-06-07,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Plusieurs sources concordantes indiquent que le sacre de Louis XIV a eu lieu le 7 juin 1654 à Reims. La date du 1er janvier 1654 est incorrecte.,Mettre à jour la date de l'événement avec la date correcte du 7 juin 1654.
29906039-ec29-4a91-9296-6124e8450ec6,Fondation de l'Université de Padoue en Italie,1222-01-01,UPDATE_DATE,UPDATE_DATE,,1222-09-01,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Wikidata indique une date de fondation plus précise au 1er septembre 1222. La description reste cohérente.,Mettre à jour la date de fondation de l'Université de Padoue avec la date précise du 1er septembre 1222.
3787a963-b2f9-471b-ba83-4f6e1528ac3c,Pacte de Famille entre la France et l'Espagne,1761-01-01,UPDATE_DATE,UPDATE_DATE,Pacte de Famille entre la France et l'Espagne,1761-08-15,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Plusieurs sources concordantes indiquent que le troisième Pacte de Famille entre la France et l'Espagne a été signé le 15 août 1761. La description correspond bien à cet événement.,"Update the date to August 15, 1761, based on multiple reliable sources."
0712ff28-a503-4388-97e8-eb54d28006d8,Décès du théoricien de la Société du spectacle,1994-01-01,UPDATE_DATE,UPDATE_DATE,Décès de Guy Debord,1994-11-30,false,A,1,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,La description indique clairement la date précise du décès de Guy Debord : 30 novembre 1994. Le titre est mis à jour pour être plus concis.,Mettre à jour la date avec la date précise du décès et simplifier le titre.
516820c2-03ff-43f9-9a11-e7820401fb74,Manifestation de Tienanmen en Chine,1989-01-01,UPDATE_DATE,UPDATE_DATE,Manifestation de Tian'anmen,1989-06-04,false,A,0.9,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,La date du 1er janvier 1989 est incorrecte. Les manifestations ont eu lieu au printemps 1989 et ont été réprimées le 4 juin 1989. Le titre est légèrement modifié pour plus de concision.,Vérifier la description après modification de la date.
8e3cc8ea-f944-42e7-ab42-82650191e369,"Signature de l'ALENA entre USA, Canada et Mexique",1994-01-01,UPDATE_DATE,UPDATE_DATE,Signature de l'ALENA,1992-12-17,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,La description indique clairement que l'ALENA a été signé le 17 décembre 1992. Le titre est rendu plus concis.,Mettre à jour la date de l'événement avec la date de signature mentionnée dans la description.
fea5640b-a267-4238-bace-937f3107bc4c,Lancement du télescope spatial James Webb,2021-01-01,UPDATE_DATE,UPDATE_DATE,,2021-12-25,false,A,0.9,INSUFFICIENT_EVIDENCE,preuve_insuffisante,La date de lancement du télescope James Webb est le 25 décembre 2021. La description est cohérente avec cet événement.,Mettre à jour la date avec la date correcte du lancement.
d407566d-574a-4826-9d01-6f2c58f20309,Naufrage du HMS Association,1707-01-01,UPDATE_DATE,UPDATE_DATE,,1707-10-22,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,La date du 1er janvier 1707 est incorrecte. Le naufrage a eu lieu le 22 octobre 1707 selon plusieurs sources fiables.,Mettre à jour la date avec la date correcte du 22 octobre 1707.
017d0982-d4ee-43d9-a742-96a8107f62d8,Bataille de Malplaquet (Grande Alliance),1709-01-01,UPDATE_DATE,UPDATE_DATE,Bataille de Malplaquet,1709-09-11,false,A,1,INSUFFICIENT_EVIDENCE,preuve_insuffisante,La date du 11 septembre 1709 est largement confirmée pour la bataille de Malplaquet. Le titre est simplifié pour correspondre à l'appellation standard.,Mettre à jour la date avec le 11 septembre 1709 et simplifier le titre.
b528476b-b611-469d-9e76-50c041ee5c83,Première de la Symphonie n°9 d'Anton Bruckner,1894-02-11,UPDATE_DATE,UPDATE_DATE,Création de la Symphonie n°9 d'Anton Bruckner,1903-02-11,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"La description indique clairement que la création a eu lieu le 11 février 1903, contredisant la date actuelle de 1894. Le titre est mis à jour pour plus de clarté.",Vérifier si d'autres sources confirment la date du 11 février 1903 pour la création de la symphonie.
aa203e9f-c003-4282-b674-2e9385af4106,Défaite Otton II face aux Sarrasins en Calabre,0982-01-01,UPDATE_DATE,UPDATE_DATE,Défaite d'Otton II au cap Colonne,0982-07-01,false,A,0.9,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,La description mentionne juillet 982 comme date de la bataille. Le titre est simplifié pour plus de clarté.,Mettre à jour la date et le titre de l'événement.
2537cf00-1240-449b-baba-4b04139b43f8,Création de l’OTAN,1949-01-01,UPDATE_DATE,UPDATE_DATE,,1949-04-04,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"La date du 1er janvier est incorrecte. La date de signature du traité de l'Atlantique Nord, marquant la création de l'OTAN, est le 4 avril 1949. La description est cohérente avec cette date.",Mettre à jour la date au 4 avril 1949.
7706f611-1f06-4a57-8c35-9d87a850752a,Création de l’Agence France-Presse,1954-01-01,UPDATE_DATE,UPDATE_DATE,,1944-08-20,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Wikipédia et Wikidata indiquent la création de l'AFP en août 1944. La description correspond à cette date.,Update the date to 1944-08-20 based on multiple reliable sources.
050efd83-8ca5-462e-8812-2a76feb7f2a3,Acte d'Union entre l'Angleterre et l'Écosse,1707-10-01,UPDATE_DATE,UPDATE_DATE,,1707-05-01,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,L'Acte d'Union a été signé le 1er mai 1707. La description est cohérente.,Mettre à jour la date au 1er mai 1707.
b84d24e3-ff7c-4f00-8069-e6afb24ee0d1,Début de la Guerre de Sept Ans,1756-01-01,UPDATE_DATE,UPDATE_DATE,,1756-05-17,false,A,0.9,INSUFFICIENT_EVIDENCE,absence_de_singularite,Wikidata et plusieurs sources indiquent que le début de la Guerre de Sept Ans est le 17 mai 1756.,Mettre à jour la date de début de la Guerre de Sept Ans au 17 mai 1756.
8abc6aa7-d167-4e7b-852c-c29304f8b058,Invasion de l’URSS : impact en France,1941-01-01,UPDATE_DATE,UPDATE_DATE,,1941-06-22,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,La date actuelle est incorrecte. L'opération Barbarossa a débuté le 22 juin 1941. La description est cohérente avec cette date.,Mettre à jour la date avec la date exacte du début de l'opération Barbarossa.
a7abad38-6bb0-4952-870f-49c6919d56f6,Naufrage du MV Wilhelm Gustloff,1945-01-01,UPDATE_DATE,UPDATE_DATE,Naufrage du MV Wilhelm Gustloff,1945-01-30,false,A,0.9,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,La date exacte du naufrage est le 30 janvier 1945. La description correspond à cet événement.,Mettre à jour la date avec la date exacte du naufrage.
