id,titre,date_in_db,date_candidate,precision,status,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
ecff34ff-98d6-4819-955e-c081f4976e8d,Lancement de la première chaîne de télévision cryptée française,1984-01-01,1984-01-01,year,CONFIRMED,0.9,false,Confirmation de la date de lancement de Canal+ en 1984.,,,Q3140944
9d4bcc5b-002c-4dfa-bb0a-f56c0098ad94,Ouverture de Disneyland Paris – renommage officiel,1994-01-01,1994-01-01,year,CONFIRMED,1,false,Confirmer la date de 1994.,,,Q1229066
084152cb-66fa-4aa6-89a7-8f810d790ad9,Affrontement entre le comte de Blois Thibaud le Tricheur et les Normands,0961-01-01,0961-01-01,year,LIKELY_CORRECT,0.8,false,"Confirmer l'année 961 comme date de l'affrontement, en reconnaissant que la preuve directe est absente des sources externes fournies, mais que la description de l'événement est cohérente.",,,Q160927
6ae352da-23b2-4318-ac04-661d4a36e018,Capture d'Anne Bonnie et Mary Read,1720-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Ajouter des sources externes fiables pour confirmer l'année de la capture.,,,
422ce035-bc0b-4cd7-b4d0-5bf0f8611ec6,Al-Khwarizmi écrit 'Sur le calcul avec les chiffres indiens',0825-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources supplémentaires confirmant l'année de publication de l'ouvrage.,Al-Khwârizmî,,Q9038
e443ec4f-bb6f-4c72-bfc4-141971256a25,Installation première horloge publique (Paris),1370-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Rechercher des sources externes confirmant l'année exacte de l'installation de la première horloge publique à Paris.,,,Q90
98d528b9-82d0-44ed-9c86-50b46abb16da,Inauguration des Invalides,1679-01-01,1679-01-01,year,CONFIRMED,0.9,false,Aucune modification nécessaire.,,,Q2208443
8320df7a-0566-4bb2-9ce7-ddb28d3aa44d,Règne de Philippe IV le Bel,1285-01-01,1285-01-01,year,INSUFFICIENT_EVIDENCE,1,false,Vérifier si l'événement correspond bien au début du règne et non à l'ensemble du règne.,Philippe IV le Bel,,Q130969
7b71bf43-1fed-4f21-8607-1a7184b60634,Début de la Guerre froide,1947-01-01,,,INSUFFICIENT_EVIDENCE,0.2,true,Rejeter car il s'agit d'une période et non d'un événement ponctuel.,https://fr.wikipedia.org/wiki/Guerre_froide,,Q8683
6611a85c-e1d6-4e7f-b504-a2f90d254da4,"Publication de ""L'Origine des espèces"" de Darwin",1859-11-24,1859-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,https://fr.wikipedia.org/wiki/L%27Origine_des_esp%C3%A8ces,,Q20124
347f25e7-cb9d-4e78-9afe-c1dadacf378b,Siège de Rouen par Henri IV,1591-01-01,1591-01-01,year,CONFIRMED,0.9,false,No change needed.,wikipedia_fr_article,,Q7510351
e4721fb1-dffa-4028-98b9-ba9c43cb2c72,Conquête arabe d'Alexandrie,0642-01-01,0642-01-01,year,LIKELY_CORRECT,0.5,false,Rechercher des sources externes confirmant l'année 642 pour la conquête arabe d'Alexandrie.,,,Q87
6e2c5fa8-2e02-46c7-9f29-f6cd987a853f,Occupation de la zone libre par les Allemands,1942-11-11,1942-01-01,year,CONFIRMED,1,false,Confirmer la date de 1942.,Zone libre,,Q3575913
8c8ae177-ba06-41da-8278-d41399018c9d,Agrandissement de la mosquée de Kilwa Kisiwani,1330-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources externes fiables qui confirment l'année exacte de l'agrandissement de la mosquée de Kilwa Kisiwani.,,,
5108dbe5-930b-4fc4-8513-08a4f23e2127,Ouverture du Musée National du Rwanda restauré,2004-01-01,2004-01-01,year,LIKELY_CORRECT,0.5,false,"Rechercher des sources externes fiables (articles de presse, publications officielles du musée, etc.) qui confirment l'année d'ouverture du Musée National du Rwanda restauré.",,,
9917a610-7b11-406f-b0ec-1c0a47abdd6a,Mobilisation générale française,1914-01-01,1914-01-01,year,CONFIRMED,1,false,Confirm the date as 1914.,https://fr.wikipedia.org/wiki/Mobilisation_fran%C3%A7aise_de_1914,,Q3317672
a253e7e5-9685-417a-8ef6-46c923f53653,Glorieuse Révolution,1688-10-01,1688-01-01,year,CONFIRMED,0.9,false,Confirmer la date de 1688.,https://fr.wikipedia.org/wiki/Glorieuse_R%C3%A9volution,,Q189508
b76eea23-044b-46cd-af6a-aec6cf09bee3,Naissance de Jean-Sébastien Bach,1685-01-07,1685-01-01,year,CONFIRMED,0.9,false,Aucune.,https://fr.wikipedia.org/wiki/Maison_de_naissance_de_Jean-S%C3%A9bastien_Bach,,Q798175
cfa94d40-be05-49fd-b9fc-437d9642e6d3,Inauguration de l'Opéra de Paris,1875-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources mentionnant explicitement l'année de l'inauguration de l'Opéra de Paris.,,,Q857814
06781674-95c5-469f-86f7-088f28419535,Saint Louis impose 'l'épreuve de Dieu' par le duel judiciaire,1258-01-01,1258-01-01,year,CONFIRMED,1,false,No changes needed.,,,Q191503
6e1419ba-bd32-4239-b7c8-a91c278e8183,Adoption de la Convention internationale sur la réglementation de la chasse à la baleine,1946-01-01,1946-01-01,year,CONFIRMED,0.9,false,Ajouter une source externe qui confirme l'année 1946 pour l'adoption de la Convention internationale sur la réglementation de la chasse à la baleine.,,,Q2961396
b1f919c8-2729-4f1b-a82a-76e257c11123,Naissance du mouvement cubiste avec Les Demoiselles d'Avignon,1907-01-01,1907-01-01,year,CONFIRMED,1,false,No change needed.,https://fr.wikipedia.org/wiki/Les_Demoiselles_d%27Avignon,,Q910199
7f22227b-f650-4aad-9fc8-0d01f694b0a6,Accords d'Oslo,1993-10-01,1993-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,Accords d'Oslo,,Q17013132
78434f4b-ab26-4419-954e-48d4b86f37dd,Mort de Pablo Picasso,1973-01-01,1973-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,https://fr.wikipedia.org/wiki/Pablo_Picasso,https://en.wikipedia.org/wiki/Pablo_Picasso,Q5593
3a049f85-2ad8-44a6-9c63-48ef27afb3df,Bataille de Monte Castello,1114-01-01,1944-01-01,year,INSUFFICIENT_EVIDENCE,0.9,false,Corriger la date dans la base de données avec l'année 1944.,wikipedia_fr_article,wikipedia_en_article,Q1818854
52a43f84-43f5-4ef7-bd4d-378550ad7e3f,Serment du Jeu de Paume,1789-01-01,1789-01-01,year,CONFIRMED,0.9,false,Aucune modification nécessaire.,wikipedia_fr_article,,Q60022
934deba0-1762-4354-acd1-465f3331175a,Institution de la foire de Champagne,1114-01-01,1114-01-01,year,LIKELY_CORRECT,0.8,false,Confirmer la date de 1114 comme l'année de l'institution de la foire de Champagne.,,,Q47135
1751bb0b-53be-4b54-914e-cd004a527d99,Dernière attaque viking sur Paris,0910-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Rejeter car le titre est ambigu et aucune source ne confirme une année précise pour la dernière attaque viking sur Paris.,,,Q815192
f1ba4930-f6f0-49e3-a752-df09312518d5,Assaut meurtrier contre un journal satirique et un commerce juif à Paris,2015-01-01,2015-01-01,year,LIKELY_CORRECT,0.8,false,Vérifier avec des sources externes pour une confirmation plus forte.,,,
c423003d-3d17-4b0e-a075-25958ce529fc,Début des travaux de la cathédrale gothique Notre-Dame de Chartres,1195-01-01,1195-01-01,year,LIKELY_CORRECT,0.7,false,Vérifier si d'autres sources confirment le début des travaux en 1195.,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Chartres,,Q180274
5211ebf4-4575-46d9-b4ec-35daec9f0ae1,Publication de Les Liaisons dangereuses,1782-01-01,1782-01-01,year,CONFIRMED,0.9,false,No change needed.,wikipedia_fr_article,wikipedia_en_article,Q862050
63a34efa-3063-4b15-bc0a-f20b182d60e5,Décret papal In Nomine Domini,1059-01-01,1059-01-01,year,LIKELY_CORRECT,0,false,Ajouter des sources externes fiables pour confirmer l'année de promulgation du décret.,,,
b0664d40-60b7-4b2d-98dd-64d8c9db7be3,Lancement du projet 'Encyclopedia of Life',2007-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources fiables mentionnant explicitement l'année de lancement du projet 'Encyclopedia of Life'.,,,Q2745222
2c81d3fe-cbf2-4d9d-a23c-d72fa66f0a32,Diète de Roncaglia,1158-01-01,1158-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,wikipedia_fr_article,wikipedia_en_article,Q351146
a7cfca15-5da4-4d09-b7ab-9a115b059368,Paix de Vervins,1598-01-01,1598-01-01,year,CONFIRMED,1,false,No change needed.,wikipedia_fr_article,wikipedia_en_article,Q1188688
5c1fb292-c43b-477f-bd8f-65f6e61cc2ee,Guerre italo-turque,1911-01-01,1911-01-01,year,CONFIRMED,0.9,false,Confirmer la date de 1911 comme année de début de la guerre italo-turque.,https://fr.wikipedia.org/wiki/Guerre_italo-turque,,Q203824
9f4b1837-50e2-4413-8bf8-bf03b9331b83,"Début des voyages de Zheng He, explorateur chinois",1405-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Reject the event as it describes a period and not a single year.,Zheng He,,Q7333
9d7512e1-b566-45d0-b4f5-c5b593619acb,Achèvement des fresques de Signorelli à Orvieto,1504-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources externes qui confirment l'année d'achèvement des fresques.,Cathédrale d'Orvieto,,Q10924
0e2dbd62-6bd5-4b14-920c-351bbb866f4f,Conquête de la Thuringe et soumission des Bavarois par Clotaire I er,0555-01-01,0555-01-01,year,LIKELY_CORRECT,0,false,Fournir des sources externes pour valider l'année de la conquête de la Thuringe et de la soumission des Bavarois par Clotaire Ier.,,,
c6ec558e-1044-4930-9cbc-de0f720f686a,Marcel Proust publie Du côté de chez Swann,1913-01-01,1913-01-01,year,CONFIRMED,0.9,false,Confirmer la date de publication du roman 'Du côté de chez Swann'.,,,Q7199
36d76bb9-013b-4d10-a197-f0bd32b6ee18,Création de l'Union Française pour le Suffrage,1909-01-01,1909-01-01,year,LIKELY_CORRECT,0.8,false,Confirmer la date de création de l'Union Française pour le Suffrage des Femmes comme étant 1909.,,,Q185682
21ba26ed-f064-4564-8185-40576b2196b7,Exil de Voltaire en Angleterre après l'affaire Rohan-Chabot,1726-01-01,1726-01-01,year,CONFIRMED,0.9,false,None,https://fr.wikipedia.org/wiki/Altercation_Voltaire-Rohan,,Q2840353
0d64e648-2776-4d98-ba43-68079d2efe6c,Début de la prohibition aux États-Unis,1920-01-17,1920-01-01,year,CONFIRMED,1,false,No changes needed.,1920 aux États-Unis,,Q2811297
6c00fb6e-8d90-42b0-acc9-28d1c394d3c9,Première de La Flûte enchantée de Mozart,1791-01-01,1791-01-01,year,CONFIRMED,0.9,false,No change needed.,La Flûte enchantée,,Q5064
33f018d4-fbed-4f32-a3a5-e5201f50b278,Génocide des Tutsis au Rwanda,1994-04-07,1994-01-01,year,CONFIRMED,0.9,false,Aucune action nécessaire.,wikipedia_fr_article,wikipedia_en_article,Q131297
