id,deleted_title,deleted_date,final_decision,confidence,evidence_level,status,result_bucket,delete_reason,source_run
3b965e1f-a963-49b8-8065-eb5e7c0252bc,Institution des Monts-de-piété,1515-01-01,DELETE,0.9,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,L'événement décrit un processus plutôt qu'un événement singulier. La date de 1515 n'est pas univoque pour l'institutionnalisation des Monts-de-piété.,historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
281aeb82-03f2-473c-bbc3-8f0eb18eaaee,Alliance franco-ottomane,1543-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,"L'événement décrit une alliance de longue durée, et non un événement ponctuel. La date de 1543 est incorrecte, l'alliance ayant débuté en 1536 et duré plus de deux siècles.",historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
19ec1746-8efc-4767-924e-24e93f71dc76,Règne de Philippe II Auguste,1180-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,,historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
e24d290e-27e6-4078-ad93-ae10420b7e3b,Construction du premier drakkar viking,0800-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,"L'événement décrit un développement technologique sur une période, et non un événement unique à une date précise. Il s'agit d'un processus graduel plutôt que d'un événement ponctuel.",historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
b703e3a6-794f-46e4-b5bd-08e43ea21690,Traduction arabe de textes médicaux grecs en Sicile,1150-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,L'événement décrit un processus de traduction et non un événement singulier datable à une année exacte. Il s'agit d'une activité continue plutôt qu'un événement ponctuel.,historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
7d95457e-0ad5-4ece-9e50-f021e46f1e37,Publication du 'Roman de la Rose',1300-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,"Le 'Roman de la Rose' est une œuvre écrite en deux temps par deux auteurs différents, entre 1230 et 1269. Il n'y a donc pas d'événement unique datable.",historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
948da1d0-1247-4d50-9388-26552f0f5325,Construction du Fort Saint-Jean à Malte,1565-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,"L'événement décrit une construction, qui est une période, pas un événement singulier.",historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
35017165-8169-4ae9-9a18-09979715290d,Guerre de la banane au Honduras,1924-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,L'événement décrit une période historique (la Guerre des Bananes) et non un événement singulier à une date précise. La date de 1924 est trompeuse car elle ne représente qu'une année parmi d'autres dans cette période.,historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
6aa96a4b-43e3-4044-94c9-62b1ef545eaa,Règne de Robert II le Pieux,0996-01-01,DELETE,1,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,,historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
4246cdbd-c5d7-40e7-a517-736a6a62ce88,Première utilisation du béton romain antique,0150-01-01,DELETE,0.9,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,"L'événement décrit une période de développement du béton romain, et non un événement singulier datable précisément. Le titre et la description indiquent une évolution progressive plutôt qu'une invention ou une première utilisation à une da…",historical-quality-pipeline-quality-overnight-insufficient-evidence.delete.json
