id,titre,date_in_db,date_candidate,precision,status,result_bucket,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
3879062c-9aa7-4d3e-8be5-27b3dcbd4cd4,Modernisation de la Constitution française,2008-01-01,,,INSUFFICIENT_EVIDENCE,preuve_insuffisante,0,true,Rechercher des sources externes confirmant l'année exacte de la modernisation de la Constitution française.,,,Q2865508
59a9ae68-422c-476b-a203-c8612295e0ae,Publication du Rapport sur le Développement Humain par l'ONU,1999-01-01,,,INSUFFICIENT_EVIDENCE,absence_de_singularite,0,true,Rechercher une source qui confirme l'année de publication du premier rapport.,https://fr.wikipedia.org/wiki/Rapport_sur_le_d%C3%A9veloppement_humain,,Q1185686
4ce8c049-63e1-4f27-b9e8-a2c6a7285ad7,Première de La Traviata de Giuseppe Verdi,1853-03-06,1853-01-01,year,CONFIRMED,confirme,0.9,false,Aucune modification nécessaire.,,,Q7317
a698d03e-9892-4f7d-ad69-be9109e068f4,Signature du Concordat de Bologne,1516-08-10,1516-01-01,year,CONFIRMED,confirme,1,false,No change needed.,Concordat de Bologne,,Q1627409
b77ad91c-a1ef-4fd0-8433-f70820c54867,Signature du traité d'Entrammes,0863-01-01,0863-01-01,year,CONFIRMED,confirme,1,false,Confirmer la date de 863 pour la signature du traité d'Entrammes.,https://fr.wikipedia.org/wiki/Trait%C3%A9_d%27Entrammes,,Q3536732
5e1d9c6e-f6ff-4464-bf9a-1457730dc95f,Construction de la cathédrale de Hildesheim,1010-01-01,1010-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0.8,false,Confirmer la date de 1010 pour le début de la construction de la cathédrale de Hildesheim.,Hildesheim,,Q3185
2790cdfb-8ef6-449b-906b-a539137b064d,Régence de Baudouin V de Flandre sur le royaume de France,1060-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources externes qui confirment l'année exacte de la régence de Baudouin V.,,,Q3454969
9efe6701-d7b0-462e-b8c3-ad3da9896766,Publication des 95 thèses de Martin Luther,1517-10-01,1517-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,wikipedia_fr_article,wikipedia_en_article,Q9554
29b7a10e-d708-47f3-bf6b-085b9a10e875,Expédition Deepsea Challenge (James Cameron),2012-01-01,2012-01-01,year,CONFIRMED,confirme,0.9,false,Aucune modification nécessaire.,,,Q42574
932443c7-c3bd-40d0-afe5-cceec7e5527c,Fondation de l'Académie royale de danse à Paris,1661-01-01,1661-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,wikipedia_fr_article,,Q1925090
2dc05568-c5e0-4d2f-ba91-7dccd42b9149,Conférence des femmes pour la paix (La Haye),1915-01-01,1915-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1915.,Ligue internationale des femmes pour la paix et la liberté,,Q689768
c07f5a0c-9c6e-4b00-a654-3fe62b9ae528,Lancement du programme électronucléaire français,1974-01-01,1974-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0.8,false,None,Histoire du programme nucléaire civil de la France,,Q3137908
d3dc2583-71e5-4c47-9832-97e567dfa3b4,Première de L'Enlèvement au sérail de Wolfgang Amadeus Mozart,1782-07-16,1782-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,,,Q254
f43b97f9-5d4c-4581-aaa9-0d6b0f5e5b2b,Construction de l'Hôpital de la Charité à Paris,1606-01-01,1606-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Confirmer la date de 1606 comme année de construction de l'Hôpital de la Charité à Paris.,wikipedia_fr_article,,Q1643043
de44c6c1-e22c-47ab-838a-ccb9a9ad0687,Publication du premier volume de l'Encyclopédie,1751-06-28,1751-01-01,year,CONFIRMED,confirme,1,false,No change needed.,Encyclopédie,,Q5292
886a60e3-25a8-4679-b052-97f3003c2be9,Retrait monastique de Carloman,0747-01-01,0747-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0.5,false,Ajouter des sources externes pour confirmer l'année du retrait monastique de Carloman.,,,
89645d96-cdf4-4e01-9fc3-400ac9a73371,Funérailles nationales de Victor Hugo,1885-01-01,1885-01-01,year,CONFIRMED,confirme,1,false,No change needed.,https://fr.wikipedia.org/wiki/Victor_Hugo,,Q535
995a208b-1704-4f54-b965-73f3776d96fe,Création du ministère du Travail,1906-01-01,1906-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1906.,wikipedia_fr_article,wikipedia_en_article,Q1408517
9a8d5824-85ec-4185-a35a-e0e747b5ca98,Edit de Saint-Germain-en-Laye sur la Réforme,1562-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources externes fiables mentionnant l'année exacte de l'Édit de Saint-Germain-en-Laye sur la Réforme.,,,Q60847808
84f31c9f-dbbc-4d8f-85bc-52885c38797e,Mort de Charles XII,1718-01-01,1718-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1718.,wikipedia_fr_article,wikipedia_en_article,Q52934
8cef8fe0-f0a5-458d-8e22-993ecc8b252d,Ouverture du Girton College,1869-01-01,,,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,0,true,Fournir des sources externes pour valider l'année d'ouverture du Girton College.,,,
d9ca9ab3-5139-4f21-a421-fad020638759,Début de la construction du Dôme de Florence par Brunelleschi,1420-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Ajouter des sources externes fiables pour confirmer l'année du début de la construction.,,,
335b3035-b959-4002-8b5c-75d7c312a9b6,Massacre de Glencoe,1692-01-01,1692-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1692.,wikipedia_fr_article,wikipedia_en_article,Q1254804
f1210295-76f1-42f3-9f50-a6231a01a594,Prise d'Amiens par les Espagnols,1597-01-01,1597-01-01,year,CONFIRMED,confirme,0.9,false,Aucune action nécessaire.,wikipedia_fr_article,wikipedia_en_article,Q3485809
e54375d3-71cc-4124-8fe4-e437654c865f,Règne de Charles V le Sage,1364-01-01,1364-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.9,true,Confirmer que l'événement est bien le début du règne et non le règne entier.,wikipedia_fr_article,wikipedia_en_article,Q167782
15c1b8ce-1602-4008-a022-2607ed74ff08,Siège de Constantinople (Mourad II),1422-01-01,1422-01-01,year,CONFIRMED,confirme,1,false,Confirmer la date de 1422.,wikipedia_fr_article,,Q700886
fd189bbe-4510-4ab7-91d4-eaa1d4a19831,Indépendance du Soudan du Sud,2011-01-01,2011-01-01,year,CONFIRMED,confirme,1,false,Aucune modification nécessaire.,Référendum sur l'indépendance du Soudan du Sud,,Q207950
ab5c9d45-f227-4f35-8975-9859538d090f,L'Italie rejoint la Triple-Entente,1915-01-01,,,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,0,true,Fournir des sources externes fiables pour confirmer l'année exacte de l'événement.,,,
6bc34beb-b068-4e1a-a3e2-d4aecaccc9c9,Mai 68 en France,1968-01-01,1968-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0.5,false,Fournir des sources externes pour confirmer l'année de l'événement.,,,
48499af6-0407-419f-a34d-d3dcd220a8b1,Premier réacteur nucléaire contrôlé à Chicago,1942-01-01,1942-01-01,year,CONFIRMED,confirme,0.9,false,Chercher des sources externes confirmant l'année 1942 pour cet événement.,,,Q80877
abe12f2d-9dd9-4308-b8d3-c023ada50cbe,Arrivée des Wisigoths en Aquitaine,0418-01-01,0418-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0.5,false,Vérifier avec d'autres sources l'année exacte de l'arrivée des Wisigoths en Aquitaine.,Wisigoths,,Q23693
9dbcda6b-867f-4ce5-8a92-741c6d7fd42a,Début de la construction de Sainte-Sophie,0532-01-01,0532-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.7,false,Confirmer la date de 532 comme début de la construction de Sainte-Sophie.,https://fr.wikipedia.org/wiki/Sainte-Sophie_(Constantinople),,Q12506
0edd0a05-8f7a-4c39-ad51-934068df1f3c,Publication du Manifeste du Parti communiste,1848-10-01,1848-01-01,year,CONFIRMED,confirme,1,false,No change needed.,https://fr.wikipedia.org/wiki/Manifeste_du_parti_communiste,,Q40591
2e878bf2-400a-4848-9aec-20776b9c17e5,Arrestation d'Antonio Gramsci,1926-01-01,1926-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,No change needed.,https://fr.wikipedia.org/wiki/Antonio_Gramsci,,Q83003
a0e96571-47a8-47c0-b4a0-abd4d42d8ebe,Naissance de la reine Victoria,1819-01-01,1819-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0,false,Ajouter une source fiable confirmant l'année de naissance de la reine Victoria.,,,Q3024285
f7ff3f47-e1d6-405b-8c0c-adec4a18c0eb,Prise du château de Beynac par Richard Cœur de Lion,1197-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources historiques fiables qui mentionnent spécifiquement l'année de la prise du château de Beynac par Richard Cœur de Lion.,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Beynac,,Q1011026
ea4fbd18-d662-4e4d-b270-4ab390a74ffc,Loi Le Chapelier interdisant les corporations,1791-01-01,1791-01-01,year,CONFIRMED,confirme,1,false,No changes needed.,https://fr.wikipedia.org/wiki/Loi_Le_Chapelier,,Q1518796
1efb1855-1400-4912-aec8-0e47d7bf0a21,Prise de Barcelone aux Musulmans d' Espagne,0801-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources historiques fiables qui confirment la date de la prise de Barcelone.,,,Q1492
ec296b23-80a6-42d7-8e3f-6eff2b262f72,Pacte Briand-Kellogg,1928-08-27,1928-01-01,year,CONFIRMED,confirme,1,false,Aucune modification nécessaire.,https://fr.wikipedia.org/wiki/Pacte_Briand-Kellogg,,Q205073
8737b509-b01b-41b3-a0d9-6957b80a222e,Début du règne de Gallien,0253-01-01,0253-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,No change needed.,Gallien,,Q104475
88e1b791-07c1-4de4-b35b-fd4c4c2c9e6b,Formation du gouvernement d’union nationale de Gaston Doumergue,1934-01-01,1934-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,https://fr.wikipedia.org/wiki/Gaston_Doumergue,,Q296064
cd1d8f65-12f9-4fe7-80e4-6d8414889910,Instauration du service militaire de trois ans,1913-08-07,1913-01-01,year,CONFIRMED,confirme,0.9,false,None,,,Q2813643
6d342ee3-2de7-4e0a-b316-b3bb531b1aca,Premières preuves de la culture du thé en Chine,0760-01-01,0760-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Vérifier avec des sources spécialisées en histoire de l'agriculture chinoise pour confirmer la date de 760.,,,Q148
2d3e98e1-f162-4234-ad5a-5c93ad3d63d0,Traité de l'Élysée,1963-01-22,1963-01-01,year,CONFIRMED,confirme,1,false,Aucune modification nécessaire.,wikipedia_fr_article,wikipedia_en_article,Q274811
89a4507a-90e3-4c64-beb0-7ab3691d565b,Explosion du dirigeable Hindenburg,1937-05-06,1937-01-01,year,CONFIRMED,confirme,1,false,Confirmer la date de 1937.,Accident du Hindenburg,,Q3182723
4764b56c-be2e-43e6-85ee-033b2cee5d46,Irène devient impératrice byzantine,0797-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources externes fiables qui confirment l'année exacte où Irène est devenue impératrice byzantine.,,,Q233631
9050e398-e4b6-4785-8c02-042805f5a1b9,Festival de Woodstock,1969-08-15,1969-01-01,year,CONFIRMED,confirme,1,false,Confirmer la date de 1969.,wikipedia_fr_article,wikipedia_en_article,Q164815
da5f94c5-1934-461e-9d74-302bfb22e68d,Barents découvre le Spitzberg,1596-01-01,1596-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0,false,Ajouter des sources externes fiables pour confirmer l'année de la découverte.,,,
35b3914d-c281-41cf-949b-2a9b0333cc78,Accident nucléaire de Tchernobyl,1986-01-01,1986-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1986.,,,Q1050926
24297915-934d-4762-bc68-a2a215310eb6,Annexion de la Crimée par la Russie,2014-03-18,2014-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,https://fr.wikipedia.org/wiki/Annexion_de_la_Crim%C3%A9e_par_la_Russie_en_2014,,Q15920546
